image_path,gender,articleType,baseColour
dataset/images/23737.jpg,Women,Sunglasses,Black
dataset/images/25077.jpg,Men,Accessory Gift Set,Navy Blue
dataset/images/34345.jpg,Men,Tshirts,Purple
dataset/images/15266.jpg,Women,Casual Shoes,Gold
dataset/images/15972.jpg,Men,Shirts,Blue
dataset/images/33111.jpg,Women,Casual Shoes,Yellow
dataset/images/56524.jpg,Women,Lipstick,Purple
dataset/images/9112.jpg,Men,Sports Shoes,White
dataset/images/58961.jpg,Men,Perfume and Body Mist,White
dataset/images/53617.jpg,Unisex,Free Gifts,Black
dataset/images/35981.jpg,Women,Tshirts,White
dataset/images/35048.jpg,Women,Kurtas,Green
dataset/images/14832.jpg,Men,Belts,Black
dataset/images/4057.jpg,Men,Tshirts,White
dataset/images/26202.jpg,Men,Perfume and Body Mist,Silver
dataset/images/12961.jpg,Men,Sandals,Brown
dataset/images/1966.jpg,Men,Tshirts,Black
dataset/images/45211.jpg,Women,Watches,White
dataset/images/24051.jpg,Men,Tshirts,White
dataset/images/11613.jpg,Women,Kurtas,Blue
dataset/images/56056.jpg,Women,Lip Gloss,Brown
dataset/images/24913.jpg,Boys,Tshirts,Red
dataset/images/46936.jpg,Men,Perfume and Body Mist,White
dataset/images/49999.jpg,Women,Bra,White
dataset/images/12855.jpg,Men,Formal Shoes,Black
dataset/images/2577.jpg,Women,Tops,White
dataset/images/36695.jpg,Men,Perfume and Body Mist,Brown
dataset/images/24288.jpg,Men,Sweatshirts,Grey
dataset/images/38603.jpg,Men,Tshirts,Blue
dataset/images/20114.jpg,Women,Kurtas,Grey
dataset/images/38753.jpg,Women,Handbags,Black
dataset/images/33300.jpg,Men,Trousers,White
dataset/images/51590.jpg,Women,Jeggings,Navy Blue
dataset/images/47526.jpg,Men,Briefs,Grey
dataset/images/27435.jpg,Women,Bra,Grey Melange
dataset/images/13042.jpg,Women,Flats,Brown
dataset/images/18194.jpg,Women,Tshirts,Green
dataset/images/25948.jpg,Women,Scarves,Green
dataset/images/5050.jpg,Men,Casual Shoes,Black
dataset/images/52759.jpg,Women,Handbags,Brown
dataset/images/6376.jpg,Men,Casual Shoes,Black
dataset/images/15118.jpg,Men,Trousers,Black
dataset/images/34030.jpg,Boys,Shirts,Blue
dataset/images/28927.jpg,Men,Tshirts,Purple
dataset/images/15172.jpg,Men,Tshirts,Brown
dataset/images/42605.jpg,Women,Pendant,Gold
dataset/images/42326.jpg,Women,Sarees,Red
dataset/images/18616.jpg,Men,Tshirts,Red
dataset/images/49705.jpg,Men,Ties,Maroon
dataset/images/5254.jpg,Unisex,Duffel Bag,Red
dataset/images/11436.jpg,Women,Tshirts,Peach
dataset/images/30983.jpg,Men,Perfume and Body Mist,Black
dataset/images/42290.jpg,Girls,Skirts,Pink
dataset/images/11319.jpg,Women,Capris,Blue
dataset/images/5256.jpg,Unisex,Rucksacks,Red
dataset/images/51352.jpg,Women,Jeans,Blue
dataset/images/39990.jpg,Men,Casual Shoes,White
dataset/images/53462.jpg,Women,Bra,Maroon
dataset/images/19408.jpg,Men,Tshirts,Off White
dataset/images/11069.jpg,Men,Shirts,Black
dataset/images/42104.jpg,Men,Shorts,Navy Blue
dataset/images/31696.jpg,Women,Kurtas,Orange
dataset/images/46117.jpg,Unisex,Casual Shoes,Red
dataset/images/17560.jpg,Men,Shirts,Red
dataset/images/57962.jpg,Women,Sarees,Multi
dataset/images/17843.jpg,Men,Casual Shoes,White
dataset/images/20030.jpg,Men,Shirts,Blue
dataset/images/9953.jpg,Men,Tshirts,Yellow
dataset/images/4888.jpg,Women,Tops,White
dataset/images/6232.jpg,Women,Tshirts,Pink
dataset/images/25449.jpg,Women,Flip Flops,Green
dataset/images/4370.jpg,Men,Tshirts,Grey
dataset/images/46253.jpg,Women,Kurtas,White
dataset/images/13181.jpg,Men,Sports Shoes,White
dataset/images/14942.jpg,Men,Tshirts,Black
dataset/images/26077.jpg,Men,Shirts,Pink
dataset/images/19977.jpg,Men,Tshirts,White
dataset/images/50187.jpg,Women,Handbags,Orange
dataset/images/37759.jpg,Men,Shirts,Grey
dataset/images/43667.jpg,Women,Dresses,Purple
dataset/images/50305.jpg,Men,Ties,Cream
dataset/images/57562.jpg,Women,Lipstick,Pink
dataset/images/34765.jpg,Women,Handbags,Beige
dataset/images/47601.jpg,Women,Flats,Brown
dataset/images/5850.jpg,Men,Tshirts,Grey
dataset/images/39452.jpg,Women,Kurtas,Blue
dataset/images/26630.jpg,Women,Flats,White
dataset/images/58491.jpg,Women,Shorts,Olive
dataset/images/27228.jpg,Women,Dresses,Pink
dataset/images/31885.jpg,Women,Sarees,White
dataset/images/40600.jpg,Women,Kurtas,Blue
dataset/images/25447.jpg,Men,Casual Shoes,Navy Blue
dataset/images/41687.jpg,Women,Heels,Beige
dataset/images/4262.jpg,Men,Tshirts,White
dataset/images/46564.jpg,Men,Watches,Olive
dataset/images/54060.jpg,Women,Patiala,Green
dataset/images/22768.jpg,Women,Kurtas,Grey
dataset/images/5390.jpg,Unisex,Sports Shoes,Grey
dataset/images/25585.jpg,Men,Sports Shoes,Silver
dataset/images/52162.jpg,Women,Dresses,Black
dataset/images/45156.jpg,Men,Watches,Black
dataset/images/46621.jpg,Women,Heels,Brown
dataset/images/27819.jpg,Men,Belts,Brown
dataset/images/21586.jpg,Men,Jeans,Grey
dataset/images/4617.jpg,Unisex,Backpacks,Blue
dataset/images/47291.jpg,Women,Wallets,Blue
dataset/images/27500.jpg,Women,Camisoles,Blue
dataset/images/6223.jpg,Women,Tshirts,Black
dataset/images/19801.jpg,Men,Tshirts,Blue
